Biomass species,Moisture,Ash,Volatile_Matter,Fixed_Carbon,Carbon,Hydrogen,Oxygen,Nitrogen,Particle_Size,Temperature,Heating_Rate,Flow_Rate,Biochar_Yield,Bio_Oil_Yield,Gas_Yield
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.2,600,40.0,0.0,18.11,45.33,36.56
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.2,700,40.0,0.0,17.92,42.17,39.91
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.2,400,80.0,0.0,16.58,47.04,36.38
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.2,500,80.0,0.0,16.8,46.96,36.24
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.2,550,80.0,0.0,16.81,46.26,36.93
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.2,600,80.0,0.0,16.29,46.3,37.41
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.2,700,80.0,0.0,16.2,43.54,40.26
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,0.6,500,5.0,0.0,19.99,50.62,29.4
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.0,500,5.0,0.0,20.24,48.99,30.77
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.6,500,5.0,0.0,23.26,45.29,31.45
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,2.0,500,5.0,0.0,24.94,43.4,31.66
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.0,500,5.0,50.0,20.79,52.61,26.6
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.0,500,5.0,100.0,20.21,54.97,24.82
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.0,500,5.0,200.0,19.79,55.44,24.77
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.0,500,5.0,400.0,19.79,53.97,26.24
Baboon seeds ,12.5,7.3,69.1,11.0,54.1,6.12,34.53,5.23,0.2,400,25.0,100.0,20.66,47.5,31.79
Baboon seeds ,12.5,7.3,69.1,11.0,54.1,6.12,34.53,5.23,0.2,500,25.0,100.0,17.53,45.32,37.15
Baboon seeds ,12.5,7.3,69.1,11.0,54.1,6.12,34.53,5.23,0.2,600,25.0,100.0,14.94,39.8,43.26
Baboon seeds ,12.5,7.3,69.1,11.0,54.1,6.12,34.53,5.23,0.2,700,25.0,100.0,11.82,39.15,49.04
Baboon seeds ,12.5,7.3,69.1,11.0,54.1,6.12,34.53,5.23,0.3,500,25.0,100.0,18.17,45.1,36.75
Baboon seeds ,12.5,7.3,69.1,11.0,54.1,6.12,34.53,5.23,0.5,500,25.0,100.0,24.07,42.05,33.88
Baboon seeds ,12.5,7.3,69.1,11.0,54.1,6.12,34.53,5.23,0.7,500,25.0,100.0,24.65,42.29,33.08
Baboon seeds ,12.5,7.3,69.1,11.0,54.1,6.12,34.53,5.23,0.9,500,25.0,100.0,25.83,45.26,28.92
Baboon seeds ,12.5,7.3,69.1,11.0,54.1,6.12,34.53,5.23,0.2,500,25.0,100.0,19.94,44.04,36.01
Baboon seeds ,12.5,7.3,69.1,11.0,54.1,6.12,34.53,5.23,0.2,500,25.0,200.0,17.81,39.95,42.26
Baboon seeds ,12.5,7.3,69.1,11.0,54.1,6.12,34.53,5.23,0.2,500,25.0,300.0,18.78,37.99,43.23
Baboon seeds ,12.5,7.3,69.1,11.0,54.1,6.12,34.53,5.23,0.2,500,25.0,400.0,22.18,29.97,47.83
Grape pomace,6.2,4.7,68.42,20.68,45.69,6.25,45.49,1.67,0.5,350,10.0,0.0,41.77,17.51,26.72
Grape pomace,6.2,4.7,68.42,20.68,45.69,6.25,45.49,1.67,0.5,400,10.0,0.0,39.22,19.51,27.67
Grape pomace,6.2,4.7,68.42,20.68,45.69,6.25,45.49,1.67,0.5,450,10.0,0.0,34.8,20.23,31.19
Grape pomace,6.2,4.7,68.42,20.68,45.69,6.25,45.49,1.67,0.5,500,10.0,0.0,33.54,21.76,33.07
Grape pomace,6.2,4.7,68.42,20.68,45.69,6.25,45.49,1.67,0.5,550,10.0,0.0,32.04,23.06,33.2
Grape pomace,6.2,4.7,68.42,20.68,45.69,6.25,45.49,1.67,0.5,600,10.0,0.0,28.67,17.94,39.75
Grape pomace,6.2,4.7,68.42,20.68,45.69,6.25,45.49,1.67,0.5,350,50.0,0.0,37.81,21.48,26.45
Grape pomace,6.2,4.7,68.42,20.68,45.69,6.25,45.49,1.67,0.5,400,50.0,0.0,34.08,23.23,28.08
Grape pomace,6.2,4.7,68.42,20.68,45.69,6.25,45.49,1.67,0.5,450,50.0,0.0,32.93,24.04,28.38
Grape pomace,6.2,4.7,68.42,20.68,45.69,6.25,45.49,1.67,0.5,500,50.0,0.0,32.81,24.64,28.88
Grape pomace,6.2,4.7,68.42,20.68,45.69,6.25,45.49,1.67,0.5,550,50.0,0.0,30.62,25.14,29.38
Grape pomace,6.2,4.7,68.42,20.68,45.69,6.25,45.49,1.67,0.5,600,50.0,0.0,27.82,24.2,33.09
Grape pomace,6.2,4.7,68.42,20.68,45.69,6.25,45.49,1.67,0.5,550,50.0,50.0,28.44,25.49,28.74
Grape pomace,6.2,4.7,68.42,20.68,45.69,6.25,45.49,1.67,0.5,550,50.0,100.0,28.68,27.66,30.51
Grape pomace,6.2,4.7,68.42,20.68,45.69,6.25,45.49,1.67,0.5,550,50.0,150.0,27.91,26.89,33.41
Grape pomace,6.2,4.7,68.42,20.68,45.69,6.25,45.49,1.67,0.5,550,50.0,2000.0,27.24,24.08,37.11
Southern bimorphic microalgae,0.08,17.33,51.45,31.13,52.6,6.21,31.92,8.75,0.2,300,10.0,100.0,36.1,49.2,14.71
Southern bimorphic microalgae,0.08,17.33,51.45,31.13,52.6,6.21,31.92,8.75,0.2,400,10.0,100.0,28.56,53.02,18.42
Southern bimorphic microalgae,0.08,17.33,51.45,31.13,52.6,6.21,31.92,8.75,0.2,500,10.0,100.0,25.59,55.25,19.16
Southern bimorphic microalgae,0.08,17.33,51.45,31.13,52.6,6.21,31.92,8.75,0.2,600,10.0,100.0,21.88,53.64,24.48
Palm trunk,7.16,5.27,82.6,4.97,42.72,5.61,51.24,0.44,1.5,500,10.0,2000.0,40.87,33.6,25.53
Thallus,13.84,0.24,82.7,3.22,42.76,5.99,50.88,0.39,1.5,500,10.0,2000.0,43.5,30.24,26.26
Leaf,9.0,12.32,66.76,11.92,42.76,5.99,50.88,0.39,1.5,500,10.0,2000.0,16.58,36.75,46.67
Leaf rib,8.01,4.26,75.94,11.79,43.76,6.3,49.57,0.38,1.5,500,10.0,2000.0,29.02,28.63,42.35
pomegranate seeds,5.38,1.83,78.71,14.08,49.65,7.54,38.13,4.03,3.2,400,5.0,30.0,41.47,42.2,16.33
pomegranate seeds,5.38,1.83,78.71,14.08,49.65,7.54,38.13,4.03,3.2,500,5.0,30.0,29.83,54.04,16.13
pomegranate seeds,5.38,1.83,78.71,14.08,49.65,7.54,38.13,4.03,3.2,600,5.0,30.0,29.28,54.2,16.52
pomegranate seeds,5.38,1.83,78.71,14.08,49.65,7.54,38.13,4.03,3.2,800,5.0,30.0,27.87,52.07,20.06
Lemon grass,5.7,7.21,59.99,39.34,39.34,5.81,53.3,1.54,0.65,350,0.0,100.0,42.67,28.97,25.86
Lemon grass,5.7,7.21,59.99,39.34,39.34,5.81,53.3,1.54,0.65,400,30.0,100.0,40.34,32.33,27.93
Lemon grass,5.7,7.21,59.99,39.34,39.34,5.81,53.3,1.54,0.65,450,30.0,100.0,35.95,35.95,29.48
Lemon grass,5.7,7.21,59.99,39.34,39.34,5.81,53.3,1.54,0.65,500,30.0,100.0,31.29,33.88,34.4
Lemon grass,5.7,7.21,59.99,39.34,39.34,5.81,53.3,1.54,0.65,550,30.0,100.0,24.83,31.55,40.09
Lemon grass,5.7,7.21,59.99,39.34,39.34,5.81,53.3,1.54,0.85,450,15.0,100.0,39.49,34.77,25.33
Lemon grass,5.7,7.21,59.99,39.34,39.34,5.81,53.3,1.54,0.85,450,30.0,100.0,36.53,36.25,30.14
Lemon grass,5.7,7.21,59.99,39.34,39.34,5.81,53.3,1.54,0.85,450,45.0,100.0,25.23,41.07,34.68
Lemon grass,5.7,7.21,59.99,39.34,39.34,5.81,53.3,1.54,0.45,450,30.0,100.0,29.22,32.84,38.02
Lemon grass,5.7,7.21,59.99,39.34,39.34,5.81,53.3,1.54,0.65,450,30.0,100.0,32.33,35.17,32.07
Lemon grass,5.7,7.21,59.99,39.34,39.34,5.81,53.3,1.54,0.85,450,30.0,100.0,36.21,36.21,29.74
Lemon grass,5.7,7.21,59.99,39.34,39.34,5.81,53.3,1.54,1.13,450,30.0,100.0,38.53,35.69,25.6
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.65,400,30.0,0.0,24.62,41.08,26.44
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.65,500,30.0,0.0,21.7,45.18,26.12
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.65,550,30.0,0.0,19.38,46.67,25.96
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.65,600,30.0,0.0,19.21,45.64,27.01
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.65,700,30.0,0.0,18.29,44.36,30.59
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.23,550,30.0,0.0,22.53,43.01,26.22
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.53,550,30.0,0.0,21.05,44.67,25.98
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.73,550,30.0,0.0,16.56,48.24,27.42
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,1.03,550,30.0,0.0,15.53,49.23,29.3
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,1.6,550,30.0,0.0,17.08,48.42,27.49
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,2.0,550,30.0,0.0,20.98,46.28,26.47
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,1.2,550,30.0,50.0,16.34,48.64,27.03
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,1.2,550,30.0,100.0,15.54,51.41,25.9
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,1.2,550,30.0,200.0,15.3,51.61,24.88
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,1.2,550,30.0,400.0,15.58,49.22,27.5
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.63,400,300.0,100.0,27.07,36.1,6.1
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.63,500,300.0,100.0,17.46,60.68,6.01
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.63,550,300.0,100.0,16.12,63.22,6.28
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.63,600,300.0,100.0,15.1,61.56,6.28
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.63,700,300.0,100.0,14.2,56.94,5.98
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.23,550,300.0,100.0,19.25,55.25,18.2
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.53,550,300.0,100.0,18.78,58.26,16.17
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.73,550,300.0,100.0,12.93,68.06,12.41
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,1.03,550,300.0,100.0,13.16,67.77,12.98
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,1.6,550,300.0,100.0,13.22,65.57,14.78
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,2.0,550,300.0,100.0,16.06,64.58,14.67
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.93,550,300.0,50.0,14.27,65.07,14.93
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.93,550,300.0,100.0,13.12,68.19,12.96
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.93,550,300.0,200.0,13.62,68.19,12.63
rapeseed,4.9,5.5,81.7,7.9,62.1,9.1,24.9,3.9,0.93,550,300.0,400.0,14.44,65.89,14.11
Corncob,7.36,1.49,79.58,11.57,49.32,5.35,44.7,0.63,0.5,400,7.0,50.0,31.98,17.85,35.03
Corncob,7.36,1.49,79.58,11.57,49.32,5.35,44.7,0.63,0.5,450,7.0,50.0,29.8,19.42,35.29
Corncob,7.36,1.49,79.58,11.57,49.32,5.35,44.7,0.63,0.5,500,7.0,50.0,27.53,21.16,36.25
Corncob,7.36,1.49,79.58,11.57,49.32,5.35,44.7,0.63,0.5,550,7.0,50.0,27.01,20.2,37.12
Corncob,7.36,1.49,79.58,11.57,49.32,5.35,44.7,0.63,0.5,400,40.0,50.0,27.14,23.27,35.14
Corncob,7.36,1.49,79.58,11.57,49.32,5.35,44.7,0.63,0.5,450,40.0,50.0,25.8,24.25,36.12
Corncob,7.36,1.49,79.58,11.57,49.32,5.35,44.7,0.63,0.5,500,40.0,50.0,24.46,25.32,36.67
Corncob,7.36,1.49,79.58,11.57,49.32,5.35,44.7,0.63,0.5,550,40.0,50.0,23.55,23.98,38.07
Corncob,7.36,1.49,79.58,11.57,49.32,5.35,44.7,0.63,0.5,500,40.0,50.0,24.65,26.16,35.18
Corncob,7.36,1.49,79.58,11.57,49.32,5.35,44.7,0.63,0.5,500,40.0,100.0,24.0,26.65,35.77
Corncob,7.36,1.49,79.58,11.57,49.32,5.35,44.7,0.63,0.5,500,40.0,150.0,23.35,25.38,37.5
Corncob,7.36,1.49,79.58,11.57,49.32,5.35,44.7,0.63,0.5,500,40.0,200.0,23.4,47.7,38.62
"OPMF,PF",4.75,1.4,66.84,27.01,45.38,10.59,42.04,1.32,0.18,550,10.0,100.0,33.35,48.69,19.22
"OPMF,PF",4.75,1.4,66.84,27.01,45.38,10.59,42.04,1.32,0.18,550,10.0,200.0,34.45,46.26,16.9
"OPMF,PF",4.75,1.4,66.84,27.01,45.38,10.59,42.04,1.32,0.18,550,10.0,300.0,33.61,0.84,20.62
"OPMF,PF",4.83,5.87,70.33,18.97,41.0,6.74,51.24,0.67,0.18,550,10.0,100.0,25.35,49.52,24.98
"OPMF,PF",4.83,5.87,70.33,18.97,41.0,6.74,51.24,0.67,0.18,550,10.0,200.0,26.55,45.98,28.22
"OPMF,PF",4.83,5.87,70.33,18.97,41.0,6.74,51.24,0.67,0.18,550,10.0,300.0,25.82,45.77,29.16
"OPMF,PF",4.75,1.4,66.84,27.01,45.38,10.59,42.04,1.32,0.18,400,10.0,200.0,40.81,40.81,17.87
"OPMF,PF",4.75,1.4,66.84,27.01,45.38,10.59,42.04,1.32,0.18,450,10.0,200.0,38.16,47.21,15.0
"OPMF,PF",4.75,1.4,66.84,27.01,45.38,10.59,42.04,1.32,0.18,500,10.0,200.0,33.53,47.65,17.43
"OPMF,PF",4.75,1.4,66.84,27.01,45.38,10.59,42.04,1.32,0.65,550,10.0,200.0,34.41,50.51,15.44
"OPMF,PF",4.75,1.4,66.84,27.01,45.38,10.59,42.04,1.32,0.18,600,10.0,200.0,33.09,48.09,18.53
"OPMF,PF",4.83,5.87,70.33,18.97,41.0,6.74,51.24,0.67,0.18,400,10.0,200.0,31.55,42.27,25.16
"OPMF,PF",4.83,5.87,70.33,18.97,41.0,6.74,51.24,0.67,0.18,450,10.0,200.0,28.92,45.41,25.41
"OPMF,PF",4.83,5.87,70.33,18.97,41.0,6.74,51.24,0.67,0.18,500,10.0,200.0,27.11,45.46,26.91
"OPMF,PF",4.83,5.87,70.33,18.97,41.0,6.74,51.24,0.67,0.18,550,10.0,200.0,26.55,45.93,28.4
"OPMF,PF",4.83,5.87,70.33,18.97,41.0,6.74,51.24,0.67,0.18,600,10.0,200.0,23.51,47.01,29.28
Apricot shell,8.3,0.95,75.0,15.75,47.33,6.37,45.93,0.37,0.43,400,10.0,0.0,35.22,20.56,37.5
Apricot shell,8.3,0.95,75.0,15.75,47.33,6.37,45.93,0.37,0.43,450,10.0,0.0,32.12,21.1,39.11
Apricot shell,8.3,0.95,75.0,15.75,47.33,6.37,45.93,0.37,0.43,500,10.0,0.0,30.11,22.18,40.32
Apricot shell,8.3,0.95,75.0,15.75,47.33,6.37,45.93,0.37,0.43,550,10.0,0.0,29.03,21.1,42.74
Apricot shell,8.3,0.95,75.0,15.75,47.33,6.37,45.93,0.37,0.43,400,50.0,0.0,28.21,22.68,30.55
Apricot shell,8.3,0.95,75.0,15.75,47.33,6.37,45.93,0.37,0.43,450,50.0,0.0,28.45,23.23,30.68
Apricot shell,8.3,0.95,75.0,15.75,47.33,6.37,45.93,0.37,0.43,500,50.0,0.0,26.66,24.32,31.66
Apricot shell,8.3,0.95,75.0,15.75,47.33,6.37,45.93,0.37,0.43,550,50.0,0.0,26.15,22.96,33.07
Apricot shell,5.53,1.16,77.62,15.69,52.48,7.58,35.3,4.54,0.65,300,20.0,100.0,40.48,46.82,12.71
Cherry seed,5.53,1.16,77.62,15.69,52.48,7.58,35.3,4.54,0.65,400,20.0,100.0,30.4,51.96,17.65
Cherry seed,5.53,1.16,77.62,15.69,52.48,7.58,35.3,4.54,0.65,500,20.0,100.0,26.52,52.75,20.76
Cherry seed,5.53,1.16,77.62,15.69,52.48,7.58,35.3,4.54,0.65,600,20.0,100.0,25.41,52.8,21.77
Cherry seed,5.53,1.16,77.62,15.69,52.48,7.58,35.3,4.54,0.65,400,20.0,100.0,31.41,48.76,19.81
Cherry seed,5.53,1.16,77.62,15.69,52.48,7.58,35.3,4.54,0.65,500,20.0,100.0,19.26,57.15,23.59
Cherry seed,5.53,1.16,77.62,15.69,52.48,7.58,35.3,4.54,0.65,600,20.0,100.0,15.16,47.33,37.51
Cherry seed,6.08,0.78,76.12,17.02,48.86,6.32,41.62,3.09,0.65,300,20.0,100.0,39.01,46.76,14.23
Cherry seed,6.08,0.78,76.12,17.02,48.86,6.32,41.62,3.09,0.65,400,20.0,100.0,31.43,51.83,16.74
Cherry seed,6.08,0.78,76.12,17.02,48.86,6.32,41.62,3.09,0.65,500,20.0,100.0,27.83,53.76,18.41
Cherry seed,6.08,0.78,76.12,17.02,48.86,6.32,41.62,3.09,0.65,600,20.0,100.0,27.14,52.78,20.08
Cherry seed,6.08,0.78,76.12,17.02,48.86,6.32,41.62,3.09,0.65,400,20.0,100.0,24.16,62.45,13.39
Cherry seed,6.08,0.78,76.12,17.02,48.86,6.32,41.62,3.09,0.65,500,20.0,100.0,15.54,60.82,23.64
Cherry seed,6.08,0.78,76.12,17.02,48.86,6.32,41.62,3.09,0.65,600,20.0,100.0,18.4,52.31,29.29
"wheat straw , oat straw ",5.9,6.9,74.2,13.0,52.9,6.3,40.4,0.4,0.5,300,7.0,100.0,32.03,14.05,31.81
"wheat straw , oat straw ",5.9,6.9,74.2,13.0,52.9,6.3,40.4,0.4,0.5,400,7.0,100.0,27.47,15.19,32.73
"wheat straw , oat straw ",5.9,6.9,74.2,13.0,52.9,6.3,40.4,0.4,0.5,500,7.0,100.0,26.19,19.39,30.13
"wheat straw , oat straw ",5.9,6.9,74.2,13.0,52.9,6.3,40.4,0.4,0.5,600,7.0,100.0,24.69,17.89,31.92
"wheat straw , oat straw ",5.9,6.9,74.2,13.0,52.9,6.3,40.4,0.4,0.5,700,7.0,100.0,22.53,14.2,39.42
"wheat straw , oat straw ",5.9,6.9,74.2,13.0,52.9,6.3,40.4,0.4,0.5,800,7.0,100.0,22.35,13.36,40.55
"wheat straw , oat straw ",6.7,17.3,75.9,0.2,48.5,6.0,45.1,0.4,0.4,300,7.0,100.0,31.84,15.42,28.11
"wheat straw , oat straw ",6.7,17.3,75.9,0.2,48.5,6.0,45.1,0.4,0.4,400,7.0,100.0,29.1,14.18,29.6
"wheat straw , oat straw ",6.7,17.3,75.9,0.2,48.5,6.0,45.1,0.4,0.4,500,7.0,100.0,27.11,19.15,30.1
"wheat straw , oat straw ",6.7,17.3,75.9,0.2,48.5,6.0,45.1,0.4,0.4,600,7.0,100.0,24.63,19.65,30.85
"wheat straw , oat straw ",6.7,17.3,75.9,0.2,48.5,6.0,45.1,0.4,0.4,700,7.0,100.0,22.39,16.17,33.58
"wheat straw , oat straw ",6.7,17.3,75.9,0.2,48.5,6.0,45.1,0.4,0.4,800,7.0,100.0,22.89,14.68,34.83
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,350,20.0,100.0,29.89,26.53,43.59
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,450,20.0,100.0,27.58,29.91,42.51
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,550,20.0,100.0,26.54,31.53,41.93
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,350,20.0,100.0,37.41,27.38,35.21
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,450,20.0,100.0,33.14,28.05,38.81
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,550,20.0,100.0,29.69,29.55,40.76
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,350,20.0,100.0,35.77,26.68,37.55
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,450,20.0,100.0,32.41,28.36,39.23
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,550,20.0,100.0,30.51,33.66,35.83
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,350,20.0,100.0,35.86,25.37,38.77
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,450,20.0,100.0,32.46,26.08,41.46
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,550,20.0,100.0,30.47,27.79,41.74
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,350,20.0,100.0,33.35,26.65,40.0
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,450,20.0,100.0,32.46,28.18,39.37
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,550,20.0,100.0,28.14,29.4,42.46
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,350,20.0,100.0,30.94,26.98,42.08
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,450,20.0,100.0,28.63,27.2,44.17
Glycyrrhiza glabra,3.67,3.04,74.9,14.08,45.13,6.24,48.03,0.6,10.0,550,20.0,100.0,26.27,34.42,39.31
sesame seed,8.7,6.63,74.8,9.87,52.43,6.09,40.86,0.62,0.6,400,300.0,100.0,33.07,41.36,25.57
sesame seed,8.7,6.63,74.8,9.87,52.43,6.09,40.86,0.62,0.6,500,300.0,100.0,23.07,49.77,27.16
sesame seed,8.7,6.63,74.8,9.87,52.43,6.09,40.86,0.62,0.6,550,300.0,100.0,20.11,52.73,27.16
sesame seed,8.7,6.63,74.8,9.87,52.43,6.09,40.86,0.62,0.6,700,300.0,100.0,16.7,43.75,39.55
sesame seed,8.7,6.63,74.8,9.87,52.43,6.09,40.86,0.62,0.33,550,300.0,100.0,23.11,48.54,28.34
sesame seed,8.7,6.63,74.8,9.87,52.43,6.09,40.86,0.62,0.63,550,300.0,100.0,19.98,52.61,27.4
sesame seed,8.7,6.63,74.8,9.87,52.43,6.09,40.86,0.62,1.03,550,300.0,100.0,21.47,51.21,27.31
sesame seed,8.7,6.63,74.8,9.87,52.43,6.09,40.86,0.62,1.35,550,300.0,100.0,20.17,47.99,31.84
sesame seed,8.7,6.63,74.8,9.87,52.43,6.09,40.86,0.62,0.6,550,100.0,100.0,22.38,53.33,24.29
sesame seed,8.7,6.63,74.8,9.87,52.43,6.09,40.86,0.62,1.6,550,300.0,100.0,20.16,54.29,25.56
sesame seed,8.7,6.63,74.8,9.87,52.43,6.09,40.86,0.62,2.6,550,500.0,100.0,18.25,55.71,26.03
sesame seed,8.7,6.63,74.8,9.87,52.43,6.09,40.86,0.62,3.6,550,700.0,100.0,20.16,53.02,26.83
tobacco residues,7.74,11.16,67.67,13.43,51.65,6.2,40.1,2.05,0.65,400,7.0,50.0,49.02,35.04,15.94
tobacco residues,8.74,12.16,68.67,14.43,52.65,7.2,41.1,3.05,0.65,500,7.0,50.0,36.28,37.99,25.73
tobacco residues,9.74,13.16,69.67,15.43,53.65,8.2,42.1,4.05,0.65,550,7.0,50.0,34.05,39.11,26.83
tobacco residues,10.74,14.16,70.67,16.43,54.65,9.2,43.1,5.05,0.65,700,7.0,50.0,29.46,37.74,32.8
tobacco residues,11.74,15.16,71.67,17.43,55.65,10.2,44.1,6.05,0.65,400,7.0,100.0,49.23,35.97,14.8
tobacco residues,12.74,16.16,72.67,18.43,56.65,11.2,45.1,7.05,0.65,500,7.0,100.0,35.56,39.38,25.06
tobacco residues,13.74,17.16,73.67,19.43,57.65,12.2,46.1,8.05,0.65,550,7.0,100.0,32.72,41.82,25.46
tobacco residues,14.74,18.16,74.67,20.43,58.65,13.2,47.1,9.05,0.65,700,7.0,100.0,29.07,39.32,31.61
tobacco residues,15.74,19.16,75.67,21.43,59.65,14.2,48.1,10.05,0.65,400,7.0,200.0,50.15,35.16,14.68
tobacco residues,16.74,20.16,76.67,22.43,60.65,15.2,49.1,11.05,0.65,500,7.0,200.0,36.95,39.5,23.54
tobacco residues,17.74,21.16,77.67,23.43,61.65,16.2,50.1,12.05,0.65,550,7.0,200.0,34.68,40.18,25.15
tobacco residues,18.74,22.16,78.67,24.43,62.65,17.2,51.1,13.05,0.65,700,7.0,200.0,27.85,36.01,36.14
tobacco residues,19.74,23.16,79.67,25.43,63.65,18.2,52.1,14.05,0.65,400,7.0,400.0,52.09,22.4,25.52
tobacco residues,20.74,24.16,80.67,26.43,64.65,19.2,53.1,15.05,0.65,500,7.0,400.0,46.16,24.31,29.53
tobacco residues,21.74,25.16,81.67,27.43,65.65,20.2,54.1,16.05,0.65,550,7.0,400.0,42.02,26.62,31.36
tobacco residues,22.74,26.16,82.67,28.43,66.65,21.2,55.1,17.05,0.65,700,7.0,400.0,34.12,23.81,42.08
rice straw,7.16,15.43,62.43,14.98,44.82,5.08,49.18,0.92,0.85,400,5.0,100.0,30.84,22.17,25.8
rice straw,7.16,15.43,62.43,14.98,44.82,5.08,49.18,0.92,0.85,500,5.0,100.0,28.3,26.36,23.09
rice straw,7.16,15.43,62.43,14.98,44.82,5.08,49.18,0.92,0.85,600,5.0,100.0,26.91,27.92,24.17
rice straw,7.16,15.43,62.43,14.98,44.82,5.08,49.18,0.92,0.85,700,5.0,100.0,24.86,23.25,29.98
rice straw,7.16,15.43,62.43,14.98,44.82,5.08,49.18,0.92,2.0,600,5.0,100.0,27.79,24.96,24.6
